# coding: utf-8
# 用户词库
# 与系统词条重码时居后，如想居前，请把词条放到flypy_top.txt文件内
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 系统次选词放在flypy_sys.txt文件内，可修改删除
# 简词补全放本文件内，不需要可删除
# 用户词库，下行开始添加，编码格式见上，部署后生效

# 全码词
刻意	keyi
即使	jiui
回忆	hvyi
华为	hxww
一边	yibm
两边	llbm
整句	vgju
按键	anjm
单元	djyr
反思	fjsi
大于	dayu
改编	gdbm
打架	dajx
叫唤	jnhr
尝尝	ihih
背景	bwjk
伤害	uhhd
程度	igdu
附件	fujm
世纪	uiji
假如	jxru
统一	tsyi
不再	buzd
猥琐	wwso
险恶	xmee
恶毒	eedu
达到	dadc
回复	hvfu
链接	lmjp
束缚	uufu
征服	vgfu
歧视	qiui
为止	wwvi
瑕疵	xxci
微信	wwxb
反悔	fjhv
补全	buqr
举例	juli
音形	ybxk
导出	dciu
把守	bauz
把戏	baxi
报仇	bciz
宝剑	bcjm
保鲜	bcxm
拜年	bdnm
摆脱	bdto
鼻塞	bise
编程	bmig
辩解	bmjp
便签	bmqm
表哥	bnge
博学	boxt
波音	boyb
憋屈	bpqu
背部	bwbu
采风	cdfg
猜忌	cdji
伺候	cihz
餐馆	cjgr
残局	cjju
惨死	cjsi
撺掇	crdo
存管	cygr
搭车	daie
打理	dali
倒逼	dcbi
呆板	ddbj
代购	ddgz
带回	ddhv
代驾	ddjx
得志	devi
得以	deyi
登记	dgji
当众	dhvs
地痞	dipi
淡季	djji
顶住	dkvu
屌丝	dnsi
跌价	dpjx
断点	drdm
短篇	drpm
短线	drxm
动机	dsji
独唱	duih
独自	duzi
对账	dvvh
儿媳	erxi
发货	faho
发力	fali
发型	faxk
发炎	fayj
分割	ffge
粉红	ffhs
分界	ffjp
奋力	ffli
分神	ffuf
风力	fgli
奉献	fgxm
访客	fhke
防守	fhuz
防伪	fhww
反腐	fjfu
凡人	fjrf
反之	fjvi
抚慰	fuww
费时	fwui
飞舞	fwwu
搞鬼	gcgv
高超	gcic
搞清	gcqk
鸽子	gezi
钢笔	ghbi
纲要	ghyc
光纤	glxm
国徽	gohv
国民	gomb
裹挟	goxp
聒噪	gozc
惯例	grli
关头	grtz
公会	gshv
共计	gsji
功名	gsmk
攻破	gspo
共用	gsys
公子	gszi
古文	guwf
桂花	gvhx
龟速	gvsu
浩瀚	hchj
豪绅	hcuf
何妨	hefh
何尝	heih
汉奸	hjjm
皇权	hlqr
火势	houi
火灾	hozd
换了	hrle
换手	hruz
回报	hvbc
徽章	hvvh
滑雪	hxxt
后腿	hztv
后市	hzui
插画	iahx
查出	iaiu
撤诉	iesu
车展	ievj
城堡	igbc
诚实	igui
诚信	igxb
尝到	ihdc
长篇	ihpm
场子	ihzi
迟了	iile
创伤	iluh
传导	irdc
冲高	isgc
重组	iszu
橱柜	iugv
初衷	iuvs
出于	iuyu
春节	iyjp
踌躇	iziu
极为	jiww
浆糊	jlhu
奖金	jljb
剑鞘	jmqn
监听	jmtk
浇灌	jngr
解围	jpww
纠葛	jqge
军师	jyui
客服	kefu
堪称	kjig
快了	kkle
空缺	ksqt
亏钱	kvqm
喟叹	kvtj
跨过	kxgo
扣缴	kzjn
扣税	kzuv
老实	lcui
理发	lifa
理工	ligs
零星	lkxk
连同	lmts
列支	lpvi
榴莲	lqlm
乱象	lrxl
聋子	lszi
履行	lvxk
论剑	lyjm
毛线	mcxm
毛衣	mcyi
迈过	mdgo
迈出	mdiu
迈入	mdru
懵逼	mgbi
蜜蜂	mifg
秘籍	miji
满族	mjzu
明知	mkvi
明晰	mkxi
免礼	mmli
免谈	mmtj
末位	moww
木板	mubj
美食	mwui
年级	nmji
碾碎	nmsv
农妇	nsfu
农畜	nsiu
奴隶	nuli
内侧	nwce
内里	nwli
牌照	pdvc
派息	pdxi
盘升	pjug
瓶颈	pkjk
漂移	pnyi
颇费	pofw
破例	poli
岂不	qibu
清静	qkjk
青涩	qkse
情谊	qkyi
枪毙	qlbi
墙纸	qlvi
潜力	qmli
嵌套	qmtc
瞧瞧	qnqn
权力	qrli
全套	qrtc
取笑	quxn
忍了	rfle
